OS;;;;;;;
Components;Number;Code (words);Data (words);Typical KIPS;Typical frequency;Acquisition Frequency;KIPS
I/O Device handlers;1;2000;700;50;5;1;10
Test & Diagnostic;1;700;400;0,5;0,1;1;5
Math utilities;1;1200;200;0,5;0,1;1;5
Executive;1;3500;2000;60;10;10;60
Run time kernel;1;8000;4000;60;10;10;60
Complex autonomy;1;15000;10000;20;10;10;20
Fault detection (monitors);1;4000;1000;15;5;1;3
Fault correction;1;2000;10000;5;5;10;10
;0;0;0;0;10;0;0
;0;0;0;0;0,5;0;0
;0;0;0;0;1;0;0
;;Total Code;Total Data;;;;Total KIPS
;;36400;28300;;;;173
;;Margined Code;Margined Data;;;;Margined KIPS
;;182000;141500;;;;865
